Year,Discipline,Sex,Age Group,SK Racers,Average Points,Total Points,List Name,Publication Date,List ID
2022,Distance,Men,MM5,1,70.43,70.43,5th CPL Distance 2022,2022-04-08,1622
2022,Distance,Men,MM7,0,0.0,0,5th CPL Distance 2022,2022-04-08,1622
2022,Distance,Men,MM8,0,0.0,0,5th CPL Distance 2022,2022-04-08,1622
2022,Distance,Men,SM,7,61.66,431.65,5th CPL Distance 2022,2022-04-08,1622
2022,Distance,Men,U14,0,0.0,0,5th CPL Distance 2022,2022-04-08,1622
2022,Distance,Men,U16,0,0.0,0,5th CPL Distance 2022,2022-04-08,1622
2022,Distance,Men,U18,3,34.05,102.14,5th CPL Distance 2022,2022-04-08,1622
2022,Distance,Men,U20,4,55.1,220.42,5th CPL Distance 2022,2022-04-08,1622
2022,Distance,Women,MW1,1,66.23,66.23,5th CPL Distance 2022,2022-04-08,1623
2022,Distance,Women,MW5,1,59.73,59.73,5th CPL Distance 2022,2022-04-08,1623
2022,Distance,Women,MW9,0,0.0,0,5th CPL Distance 2022,2022-04-08,1623
2022,Distance,Women,SW,1,53.23,53.23,5th CPL Distance 2022,2022-04-08,1623
2022,Distance,Women,U12,0,0.0,0,5th CPL Distance 2022,2022-04-08,1623
2022,Distance,Women,U14,0,0.0,0,5th CPL Distance 2022,2022-04-08,1623
2022,Distance,Women,U16,0,0.0,0,5th CPL Distance 2022,2022-04-08,1623
2022,Distance,Women,U18,5,43.62,218.09,5th CPL Distance 2022,2022-04-08,1623
2022,Distance,Women,U20,7,48.5,339.53,5th CPL Distance 2022,2022-04-08,1623
2022,Sprint,Men,MM1,0,0.0,0,5th CPL Sprint 2022,2022-04-08,1624
2022,Sprint,Men,MM2,0,0.0,0,5th CPL Sprint 2022,2022-04-08,1624
2022,Sprint,Men,MM3,1,52.86,52.86,5th CPL Sprint 2022,2022-04-08,1624
2022,Sprint,Men,MM4,0,0.0,0,5th CPL Sprint 2022,2022-04-08,1624
2022,Sprint,Men,MM5,1,75.99,75.99,5th CPL Sprint 2022,2022-04-08,1624
2022,Sprint,Men,MM7,0,0.0,0,5th CPL Sprint 2022,2022-04-08,1624
2022,Sprint,Men,MM8,0,0.0,0,5th CPL Sprint 2022,2022-04-08,1624
2022,Sprint,Men,SM,4,66.08,264.33,5th CPL Sprint 2022,2022-04-08,1624
2022,Sprint,Men,U14,0,0.0,0,5th CPL Sprint 2022,2022-04-08,1624
2022,Sprint,Men,U16,0,0.0,0,5th CPL Sprint 2022,2022-04-08,1624
2022,Sprint,Men,U18,2,35.24,70.49,5th CPL Sprint 2022,2022-04-08,1624
2022,Sprint,Men,U20,4,62.44,249.77,5th CPL Sprint 2022,2022-04-08,1624
2022,Sprint,Women,MW1,1,66.19,66.19,5th CPL Sprint 2022,2022-04-08,1625
2022,Sprint,Women,MW5,0,0.0,0,5th CPL Sprint 2022,2022-04-08,1625
2022,Sprint,Women,MW9,0,0.0,0,5th CPL Sprint 2022,2022-04-08,1625
2022,Sprint,Women,SW,0,0.0,0,5th CPL Sprint 2022,2022-04-08,1625
2022,Sprint,Women,U12,0,0.0,0,5th CPL Sprint 2022,2022-04-08,1625
2022,Sprint,Women,U14,0,0.0,0,5th CPL Sprint 2022,2022-04-08,1625
2022,Sprint,Women,U16,0,0.0,0,5th CPL Sprint 2022,2022-04-08,1625
2022,Sprint,Women,U18,4,40.89,163.55,5th CPL Sprint 2022,2022-04-08,1625
2022,Sprint,Women,U20,6,64.14,384.84,5th CPL Sprint 2022,2022-04-08,1625
2023,Distance,Men,MM1,0,0.0,0,End of 2023 Season Final,2023-04-09,1684
2023,Distance,Men,MM2,0,0.0,0,End of 2023 Season Final,2023-04-09,1684
2023,Distance,Men,MM3,1,50.44,50.44,End of 2023 Season Final,2023-04-09,1684
2023,Distance,Men,MM4,1,59.64,59.64,End of 2023 Season Final,2023-04-09,1684
2023,Distance,Men,MM5,1,69.36,69.36,End of 2023 Season Final,2023-04-09,1684
2023,Distance,Men,MM7,1,54.83,54.83,End of 2023 Season Final,2023-04-09,1684
2023,Distance,Men,MM8,0,0.0,0,End of 2023 Season Final,2023-04-09,1684
2023,Distance,Men,SM,3,65.54,196.62,End of 2023 Season Final,2023-04-09,1684
2023,Distance,Men,U14,1,33.65,33.65,End of 2023 Season Final,2023-04-09,1684
2023,Distance,Men,U16,4,37.28,149.13,End of 2023 Season Final,2023-04-09,1684
2023,Distance,Men,U18,8,38.19,305.53,End of 2023 Season Final,2023-04-09,1684
2023,Distance,Men,U20,4,72.41,289.62,End of 2023 Season Final,2023-04-09,1684
2023,Distance,Women,MW1,0,0.0,0,End of 2023 Season Final,2023-04-09,1685
2023,Distance,Women,MW5,1,59.88,59.88,End of 2023 Season Final,2023-04-09,1685
2023,Distance,Women,MW9,0,0.0,0,End of 2023 Season Final,2023-04-09,1685
2023,Distance,Women,SW,1,72.79,72.79,End of 2023 Season Final,2023-04-09,1685
2023,Distance,Women,U12,0,0.0,0,End of 2023 Season Final,2023-04-09,1685
2023,Distance,Women,U14,0,0.0,0,End of 2023 Season Final,2023-04-09,1685
2023,Distance,Women,U16,3,33.82,101.46,End of 2023 Season Final,2023-04-09,1685
2023,Distance,Women,U18,6,52.02,312.15,End of 2023 Season Final,2023-04-09,1685
2023,Distance,Women,U20,4,65.7,262.81,End of 2023 Season Final,2023-04-09,1685
2023,Sprint,Men,MM1,0,0.0,0,End of 2023 Season Sprint Final,2023-04-09,1686
2023,Sprint,Men,MM2,0,0.0,0,End of 2023 Season Sprint Final,2023-04-09,1686
2023,Sprint,Men,MM3,1,60.67,60.67,End of 2023 Season Sprint Final,2023-04-09,1686
2023,Sprint,Men,MM4,1,65.21,65.21,End of 2023 Season Sprint Final,2023-04-09,1686
2023,Sprint,Men,MM5,1,75.09,75.09,End of 2023 Season Sprint Final,2023-04-09,1686
2023,Sprint,Men,MM7,1,66.31,66.31,End of 2023 Season Sprint Final,2023-04-09,1686
